Index,Score,Std Dev,a,alpha,b,lamb,zeta
0,-0.49306515228889275,1.659559515032798,0.9988457083851227,0.5396071665832268,0.9931641106839315,1.0315566808272068,44.22470875444116
1,-0.25903430674657835,1.1044520410370655,0.9983139695194985,0.7421608823136434,0.9887610138372753,1.0669379109811585,68.22222659927493
2,-0.2819862816440725,0.12151428940575536,0.9870227088099442,0.7535485359452156,0.9853255888431648,1.2798441150922064,63.69157538017911
3,-0.1468854073055092,0.10373649410194416,0.9879122308250714,0.4036428472214814,0.9919873971083272,1.1952950852078148,46.154340931051635
4,-0.23731505094423844,0.17924682833124192,0.9905194085695264,0.24174391388999464,0.9912878485351104,1.3266827831507513,52.53871812309568
5,-0.4080948480796308,0.5193357971012706,0.9901918914404346,0.2702608823164042,0.9957643211975719,1.2213733651794882,52.67511573432252
6,-0.29843881013524054,0.121821015278775,0.9876176525693692,0.4922046838569183,0.9870863130260982,1.1890720571544107,52.27477121775398
7,-0.2313370124640753,0.04310431366693052,0.9934816510508643,0.37234794415918093,0.9834678322197936,1.2553009377993494,40.85710399598765
8,-0.3612840285065635,0.21707938198359614,0.9954571396176205,0.8634415137477569,0.9809570397045085,1.3565427389140279,40.21392451623738
9,-0.19581728816479804,0.3105903964625328,0.9907860180730452,0.7382393471590516,0.9840783786749316,1.1822061049218267,65.7566778114154
10,-0.2720767870632441,0.07995512568819102,0.9878563281402383,0.6959857633302118,0.9957375680338361,1.4042118525853025,50.609043145365064
11,-0.5401838970400343,4.007454582814996,0.9987738469967454,0.4886612392933593,0.9905744747198957,1.0006636481400821,51.534858936902175
12,-0.34483204889564434,0.09990821461329678,0.9924449381535311,0.455128817489219,0.9930063076940132,1.1337582987605495,57.73092848085187
13,-0.36501008458096973,3.633012124079369,0.9940373654632129,0.816473881054965,0.9990710629008298,1.0360915962928552,63.87744377416215
14,-0.2604734514498754,1.2078693980743391,0.9869483972582777,0.7260067417730824,0.9832440120373084,1.1441273459707482,58.504178777958764
15,-0.5312266356037088,0.5047349050847559,0.9929349342005994,0.6741971314238644,0.9901643062760087,1.1797278174540617,50.0603218151562
16,-0.02154289062551946,0.0010517738246328854,0.9904714410396462,0.4191982250778047,0.9987365797855385,1.4598806984309352,45.555467404591504
17,-0.2690290806731938,1.3785195311520362,0.9933694510052764,0.23890583095770915,0.99309453895681,1.107384356258628,54.78780596547507
18,-0.23394188724900492,0.5678859255463263,0.996599516154791,0.3486601450622756,0.990465812766903,1.1832422936904574,63.873378558205005
19,-0.31678513053924406,0.44320214363280264,0.9829377343650251,0.333410821648868,0.9905691483301972,1.4234060599224667,43.32058864758043
20,-0.4908692943498144,0.5299928778480513,0.9997047139350053,0.6341774095643967,0.9881509469951955,1.0796997122313767,47.98053955559879
21,-0.4597683110365407,0.46147948242628006,0.9832167521549368,0.6232634346003418,0.9958883320505942,1.3010058925135808,48.67142967950129
22,-0.3449758396471055,0.4076271254806004,0.9969539703222107,0.5880246993663034,0.98682229366687,1.0661247532715352,58.42963675020924
23,-0.3034454151470164,0.21129567763382184,0.9810880048306667,0.535053022220249,0.9804381104080979,1.4995959660840719,55.89163595165944
24,-1.761028877136467,3.525800074362237,0.9961096261233305,0.6276119470051686,0.9890249505362357,1.0177473299736095,60.785753704797926
25,-0.2484155533481983,0.10092094899639317,0.9956191193779114,0.5799597337272777,0.9887376679748006,1.0080430914774927,61.31897025056498
26,-0.4365650709150143,0.48314320007941775,0.999734382326842,0.49558728681284164,0.9856969684889069,1.0031771600518904,60.590060815615395
27,-1.1270210311426425,1.2693210553683207,0.997970435728832,0.8153089134340569,0.9948059965372956,1.0002187298267513,55.79621300209352
28,-0.26937634000127764,0.11664698546257139,0.9974562661696895,0.89895919976032,0.9976905866125726,1.0357631124726616,69.13359602359145
29,-0.33762048117658705,0.47350656337707175,0.9946733253183556,0.8163681395146447,0.994367271369737,1.103334500785181,54.556870614191716
30,-0.2563154524025256,0.28732437687809487,0.9983256346646499,0.7892255061702136,0.9973095446235304,1.048614587950934,67.23747831824616
31,-0.2456533243928548,0.25610979277225504,0.9920233804907433,0.8748697764924084,0.994302261479398,1.0163589939578366,61.393039720513734
32,-0.317152158817795,0.4585253597954496,0.9954573295976685,0.6579894023136508,0.9921757898720491,1.1355258766927185,56.827120007571885
33,-0.5660190796548874,0.6333350880414433,0.9997847799969009,0.7955196786022285,0.9889610864861001,1.0887149959492777,59.53567219918563
34,-0.3020946107373789,0.10047694596609669,0.9978970972669787,0.7035808767896331,0.994444198668609,1.0612916420188805,62.42417716549468
35,-0.2870593231882026,0.18065321693807715,0.9863034168469248,0.7698082660557248,0.9819410659743889,1.2362079609367147,67.64610579852487
36,-0.29929090208186815,0.19088206683065093,0.9889874388415806,0.5552900425640935,0.9918767361641437,1.0218044748350563,66.18961450983188
37,-0.17110227133407038,0.04234779469654622,0.9963221519859637,0.8482512084515837,0.9876426942238711,1.1581511672370386,53.917305229290136
38,-0.3441290042548087,0.7011038450939339,0.9856963522013666,0.889029028767623,0.9861460531293279,1.1031696798693225,56.26743879947468
39,-0.4221007923867496,0.07515094540548586,0.9945731825019337,0.30112597715595113,0.9844758781393022,1.2146316042435237,53.07077572463698
